Fast_SMA,Slow_SMA,Net_Profit,Return_Pct
20,120,-42064.2,-42.06
20,130,-51448.64,-51.45
20,140,50583.08,50.58
20,150,54205.14,54.21
20,160,-119259.8,-119.26
20,170,-108293.35,-108.29
20,180,-87908.98,-87.91
20,190,-92273.88,-92.27
20,200,3068.75,3.07
20,210,171517.18,171.52
20,220,247536.9,247.54
20,230,405051.06,405.05
20,240,484275.41,484.28
20,250,569321.09,569.32
22,30,-96066.61,-96.07
22,40,30238.97,30.24
22,50,548873.07,548.87
22,60,22735.41,22.74
22,70,502443.06,502.44
22,80,693162.29,693.16
22,90,421362.15,421.36
22,100,322842.13,322.84
22,110,-74052.29,-74.05
22,120,-38149.24,-38.15
22,130,-51381.02,-51.38
22,140,73914.08,73.91
22,150,-73133.78,-73.13
22,160,-120228.6,-120.23
22,170,-128980.54,-128.98
22,180,-87044.38,-87.04
22,190,-87876.05,-87.88
22,200,12957.51,12.96
22,210,270318.85,270.32
22,220,291616.83,291.62
22,230,436918.45,436.92
22,240,407740.97,407.74
22,250,514602.4,514.6
24,30,-89628.98,-89.63
24,40,227169.51,227.17
24,50,586057.48,586.06
24,60,-39066.73,-39.07
24,70,932111.32,932.11
24,80,251716.05,251.72
24,90,334639.5,334.64
24,100,340068.82,340.07
24,110,-79046.14,-79.05
24,120,-41956.05,-41.96
24,130,-74095.59,-74.1
24,140,32454.5,32.45
24,150,-73704.99,-73.7
24,160,-118658.73,-118.66
24,170,-126495.09,-126.5
24,180,-82839.31,-82.84
24,190,-82335.83,-82.34
24,200,-464645.01,-464.65
24,210,279744.99,279.74
24,220,138604.36,138.6
24,230,373648.17,373.65
24,240,360341.59,360.34
24,250,406368.38,406.37
26,30,-94662.05,-94.66
26,40,139707.59,139.71
26,50,369337.63,369.34
26,60,-54647.15,-54.65
26,70,864595.66,864.6
26,80,225999.76,226.0
26,90,179046.79,179.05
26,100,279896.69,279.9
26,110,-66301.01,-66.3
26,120,-58906.48,-58.91
26,130,-82736.87,-82.74
26,140,-85769.53,-85.77
26,150,-81287.73,-81.29
26,160,-119899.98,-119.9
26,170,-128605.56,-128.61
26,180,120432.85,120.43
26,190,-134041.66,-134.04
26,200,-405058.54,-405.06
26,210,224790.2,224.79
26,220,105279.15,105.28
26,230,199986.48,199.99
26,240,323687.06,323.69
26,250,211820.5,211.82
28,30,105642.11,105.64
28,40,4048.12,4.05
28,50,-64054.48,-64.05
28,60,-66495.22,-66.5
28,70,-63711.19,-63.71
28,80,324358.76,324.36
28,90,457450.38,457.45
28,100,-27554.97,-27.55
28,110,-68843.02,-68.84
28,120,-69841.35,-69.84
28,130,-74284.78,-74.28
28,140,-83523.69,-83.52
28,150,-78307.14,-78.31
28,160,-116677.81,-116.68
28,170,-123919.51,-123.92
28,180,85349.35,85.35
28,190,-48060.92,-48.06
28,200,-390219.17,-390.22
